trade_date,open,high,low,close,volume
2025-11-19,8.78,9.13,8.74,9.03,1123543
2025-11-20,8.89,9.01,8.68,8.72,740183
2025-11-21,8.75,9.02,8.51,8.52,892761
2025-11-24,8.78,9.04,8.63,8.78,1391422
2025-11-25,8.56,8.76,8.42,8.6,1009505
2025-11-26,8.43,8.54,8.25,8.4,936380
2025-11-27,8.36,8.52,8.33,8.4,550825
2025-11-28,8.51,8.7,8.4,8.56,698707
2025-12-01,8.71,9.44,8.69,9.41,2277929
2025-12-02,9.22,9.41,8.44,8.45,2412115
2025-12-03,8.45,8.68,8.36,8.51,1146636
2025-12-04,8.68,8.94,8.56,8.59,978456
2025-12-05,8.45,8.55,7.98,8.07,1625975
2025-12-08,8.07,8.12,7.95,8.09,772266
2025-12-09,8.12,8.2,7.91,7.98,658454
2025-12-10,7.85,7.99,7.69,7.97,568277
2025-12-11,8.08,8.14,7.94,7.95,428913
2025-12-12,8.01,8.24,8.0,8.13,780364
2025-12-15,8.07,8.59,8.04,8.37,976312
2025-12-16,8.35,8.37,8.05,8.11,549459
2025-12-17,8.15,8.57,8.11,8.51,851626
2025-12-18,8.49,8.73,8.48,8.63,602482
2025-12-19,8.34,8.4,8.18,8.26,762214
2025-12-22,8.28,8.78,8.26,8.68,1080202
2025-12-23,8.43,8.77,8.42,8.67,701981
2025-12-24,8.48,8.58,8.32,8.49,833411
2025-12-25,8.5,8.78,8.43,8.66,612915
2025-12-26,8.7,8.81,8.53,8.66,532982
2025-12-29,8.67,8.9,8.41,8.87,911562
2025-12-30,8.79,8.84,8.68,8.73,488725
2025-12-31,8.71,8.87,8.65,8.73,567967
2026-01-05,8.73,8.92,8.6,8.72,857245
2026-01-06,8.66,8.95,8.64,8.89,825226
2026-01-07,9.0,9.23,8.72,8.76,705574
2026-01-08,9.23,9.55,9.14,9.35,1602558
2026-01-09,9.61,9.83,9.42,9.58,1427048
2026-01-12,9.83,10.56,9.61,10.45,1934141
2026-01-13,10.47,11.1,10.39,10.96,1485533
2026-01-14,11.1,11.41,10.65,11.0,1151671
2026-01-15,10.89,11.47,10.87,11.14,935101
2026-01-16,10.91,11.37,10.82,10.97,1057903
2026-01-19,11.03,11.47,11.03,11.2,915541
2026-01-20,11.2,11.31,10.8,11.0,885457
2026-01-21,10.92,11.03,10.67,10.8,829974
2026-01-22,10.8,11.2,10.75,10.81,706943
2026-01-23,10.73,10.85,10.44,10.56,945249
2026-01-26,10.8,11.2,10.8,11.13,1411821
2026-01-27,10.97,11.39,10.85,10.99,1209378
2026-01-28,11.17,11.19,10.69,10.92,1064508
2026-01-29,11.15,11.27,10.7,10.78,1144546
2026-01-30,10.83,11.25,10.78,11.11,1318732
2026-02-02,11.05,11.35,10.48,10.54,1279267
2026-02-03,10.82,11.3,10.59,11.27,1301420
2026-02-04,11.45,11.9,11.24,11.75,1543455
2026-02-05,11.75,11.99,11.17,11.4,1252411
2026-02-06,11.25,11.3,10.98,11.11,815220
2026-02-09,11.4,11.93,11.35,11.77,1052573
2026-02-10,11.74,12.13,11.35,12.07,961612
2026-02-11,12.07,12.19,11.75,11.77,776337
2026-02-12,12.19,12.97,12.19,12.97,1021614
2026-02-13,12.94,12.96,11.87,11.94,1857873
2026-02-24,13.16,13.16,12.87,13.16,1548322
2026-02-25,13.74,14.5,13.55,14.5,2107543
2026-02-26,14.39,15.54,14.38,15.35,2691083
2026-02-27,15.74,16.16,15.4,15.99,2193783
2026-03-02,17.25,17.61,15.67,17.61,4152119
2026-03-03,18.65,19.4,17.67,19.4,3795464
2026-03-04,18.55,18.55,17.44,17.46,3466699
2026-03-05,17.09,18.15,16.25,17.21,3005058
2026-03-06,16.75,17.6,16.4,16.87,2468777
2026-03-09,17.39,17.39,15.22,15.47,2899306
2026-03-10,15.25,17.04,15.25,16.22,3254021
2026-03-11,16.1,16.25,15.7,16.05,2200604
2026-03-12,16.05,16.2,15.32,15.72,1889268
2026-03-13,15.62,16.01,15.1,15.33,1596298
2026-03-16,15.33,16.69,15.2,16.5,2261161
2026-03-17,16.55,16.82,16.17,16.24,1444409
2026-03-18,16.13,17.89,15.82,17.77,2548815
2026-03-19,17.75,18.05,16.72,17.41,2304549
2026-03-20,17.39,17.53,16.34,16.53,1874487
2026-03-23,16.95,17.59,16.45,16.75,1888872
2026-03-24,17.2,18.2,16.76,17.85,2459788
2026-03-25,18.16,18.28,16.82,17.16,2240066
2026-03-26,16.95,17.14,16.36,16.44,1564728
2026-03-27,16.47,17.44,16.05,16.85,1536914
2026-03-30,16.77,17.05,16.35,16.78,1232291
2026-03-31,17.07,17.12,15.67,16.11,1519896
2026-04-01,16.43,17.75,16.43,17.75,1968440
2026-04-02,17.9,19.55,17.89,19.22,3299876
2026-04-03,19.8,21.06,19.8,20.14,2125534
2026-04-07,20.51,20.72,19.73,20.01,1695437
2026-04-08,18.94,21.02,18.8,19.91,2672325
2026-04-09,20.08,20.5,18.61,19.5,2002806
2026-04-10,19.35,19.5,18.45,18.83,2246866
2026-04-13,18.45,18.67,17.8,17.97,1779408
2026-04-14,17.95,18.78,17.56,18.28,2074420
2026-04-15,17.93,18.85,17.7,18.19,1383490
2026-04-16,18.32,18.44,17.75,17.83,1171557
2026-04-17,17.74,18.41,17.55,18.3,1413364
2026-04-20,18.08,18.86,17.88,18.83,1577667
2026-04-21,18.84,19.48,18.39,18.84,1560757
2026-04-22,18.63,18.72,17.13,17.71,2293764
2026-04-23,17.05,17.63,17.0,17.27,1430789
2026-04-24,17.19,17.35,16.65,17.18,1428768
2026-04-27,17.15,17.41,16.73,16.94,1085703
2026-04-28,16.94,17.18,16.41,16.55,1114386
2026-04-29,16.9,17.46,16.75,17.36,1236800
2026-04-30,16.95,17.68,16.63,17.35,1177278
2026-05-06,17.88,18.47,16.85,18.39,2173571
2026-05-07,18.24,19.26,17.47,18.18,2647580
2026-05-08,17.84,19.61,17.84,19.24,2398055
2026-05-11,18.75,18.75,17.65,18.12,2371829
2026-05-12,17.9,18.4,17.45,17.54,1303607
2026-05-13,17.69,18.2,17.57,17.75,1298068
2026-05-14,17.46,18.63,17.26,17.75,1845028
2026-05-15,17.65,17.73,17.01,17.19,1177861
2026-05-18,16.4,16.95,16.15,16.8,1619935
2026-05-19,17.09,17.63,16.85,17.23,1036724
2026-05-20,16.75,17.56,16.75,17.48,1214656
2026-05-21,17.47,18.64,17.47,17.55,1563629
2026-05-22,17.95,18.13,17.4,17.83,1039652
2026-05-25,18.5,19.25,17.4,17.52,2010248
2026-05-26,17.47,17.95,16.46,17.01,1741455
2026-05-27,16.82,17.13,15.85,16.04,1520494
2026-05-28,15.94,16.06,15.58,15.84,1042697
2026-05-29,15.75,16.05,15.31,15.61,1085634
2026-06-01,15.8,15.85,15.21,15.28,1234393
2026-06-02,15.37,15.39,14.75,15.24,955035
2026-06-03,15.17,15.18,14.55,14.88,1231045
2026-06-04,14.85,15.05,14.65,14.71,810466
2026-06-05,14.79,14.98,14.42,14.55,854314
2026-06-08,14.26,14.61,13.81,13.89,1073639
2026-06-09,13.9,14.12,13.66,14.1,850048
2026-06-10,14.06,14.78,14.05,14.37,1006347
