代码,名称,ATR(14),ATR(50),BIAS(50),最大回撤,当前回撤,来源
515880,通信设备,5.41%,6.67%,-8.06%,-41.1%,-28.1%,行业ETF
159259,成长ETF,5.04%,6.51%,-9.14%,-37.7%,-26.4%,宽基ETF
589720,科创新药,4.93%,5.25%,5.84%,-24.9%,-4.7%,行业ETF
159967,创业板成长,4.86%,6.23%,-8.07%,-35.1%,-25.5%,宽基ETF
159206,卫星,4.25%,5.71%,-9.29%,-40.7%,-33.3%,行业ETF
159562,黄金股,4.16%,3.84%,23.49%,-34.2%,-5.4%,行业ETF
588220,科创100,4.11%,5.34%,-2.97%,-32.4%,-18.5%,宽基ETF
159781,双创50,4.02%,5.58%,-9.96%,-29.5%,-24.9%,宽基ETF
588000,科创50,3.97%,6.20%,-10.28%,-30.2%,-25.6%,宽基ETF
513310,中韩半导体,3.88%,6.92%,-10.74%,-35.7%,-27.5%,全球ETF
159608,稀有金属,3.47%,4.52%,-3.71%,-32.9%,-22.1%,行业ETF
513780,港股通创新药,3.45%,3.42%,15.28%,-26.6%,-1.3%,行业ETF
159652,有色,3.41%,3.83%,5.80%,-26.6%,-12.0%,行业ETF
513120,港股创新药,3.37%,3.48%,15.15%,-27.0%,-1.0%,行业ETF
159869,游戏,3.04%,3.89%,-1.63%,-26.5%,-20.7%,行业ETF
159531,中证2000,2.77%,3.20%,0.11%,-24.2%,-12.3%,宽基ETF
515220,煤炭,2.75%,3.16%,7.57%,-25.4%,-10.7%,行业ETF
512660,军工,2.47%,3.41%,-6.02%,-29.1%,-25.6%,行业ETF
159755,电池ETF,2.37%,3.27%,-4.45%,-29.7%,-24.3%,行业ETF
510500,中证500,2.32%,3.08%,-3.57%,-18.9%,-13.0%,宽基ETF
513350,标普油气,2.29%,3.02%,11.97%,-34.3%,-17.8%,全球ETF
159637,新能源车,2.25%,3.22%,-3.79%,-31.1%,-24.9%,行业ETF
512690,白酒,2.23%,2.79%,0.16%,-23.2%,-16.0%,行业ETF
516270,新能源,2.21%,3.19%,-4.79%,-29.6%,-23.6%,行业ETF
159129,化工,2.18%,3.05%,0.18%,-23.1%,-14.9%,行业ETF
513050,中概互联,2.14%,2.87%,3.00%,-25.7%,-11.7%,行业ETF
159338,中证A500,1.81%,2.42%,-2.97%,-12.2%,-9.5%,宽基ETF
513750,港股通非银,1.78%,2.38%,1.48%,-16.0%,-8.4%,行业ETF
513260,恒生科技,1.77%,2.45%,1.08%,-17.1%,-8.2%,宽基ETF
513650,美国标普,1.72%,1.37%,4.01%,-5.8%,-2.6%,全球ETF
159655,标普,1.69%,1.36%,3.33%,-5.9%,-2.8%,全球ETF
159697,石油,1.60%,2.26%,6.46%,-20.5%,-9.7%,行业ETF
159981,能源化工ETF,1.60%,2.07%,6.73%,-23.5%,-11.4%,商品ETF
513850,美国50,1.58%,1.60%,1.98%,-8.0%,-3.3%,全球ETF
159696,纳指,1.53%,1.64%,0.46%,-13.0%,-6.4%,全球ETF
510300,沪深300,1.47%,2.03%,-2.47%,-9.9%,-8.1%,宽基ETF
159268,港股通消费,1.46%,2.06%,0.94%,-17.2%,-11.3%,行业ETF
520560,香港大盘30,1.40%,1.93%,4.71%,-17.5%,-4.7%,红利ETF
159611,电力,1.35%,2.06%,-3.20%,-20.0%,-18.5%,行业ETF
159905,深红利,1.32%,1.67%,0.83%,-13.8%,-9.2%,红利ETF
159232,中证现金流,1.31%,1.75%,2.47%,-17.3%,-10.3%,红利ETF
159209,中证红利质量,1.31%,1.77%,3.27%,-15.3%,-7.3%,红利ETF
513400,道琼斯,1.27%,1.23%,0.89%,-5.7%,-2.6%,全球ETF
159207,智选高股息,1.27%,1.70%,0.65%,-12.7%,-6.2%,红利ETF
560700,央企股东回报,1.24%,1.68%,4.51%,-10.0%,-1.6%,红利ETF
159333,港股通央企红利,1.23%,1.55%,4.39%,-15.5%,-4.9%,红利ETF
159569,港股通红利低波,1.21%,1.74%,6.21%,-17.6%,-4.3%,红利ETF
520990,国新港股通红利,1.20%,1.57%,4.92%,-18.3%,-8.8%,红利ETF
159529,标普消费,1.16%,1.44%,0.84%,-10.8%,-6.4%,全球ETF
512040,国信价值,1.16%,1.60%,2.40%,-10.9%,-4.4%,红利ETF
159691,港股红利工银,1.15%,1.66%,4.90%,-18.6%,-8.1%,红利ETF
513920,恒生港股通央企,1.15%,1.58%,3.24%,-17.8%,-8.6%,红利ETF
159222,自由现金流,1.15%,1.64%,4.00%,-20.1%,-10.7%,红利ETF
159263,价值100,1.12%,1.66%,2.70%,-13.8%,-4.7%,红利ETF
563020,红利低波,1.11%,1.55%,2.71%,-11.6%,-2.7%,红利ETF
515080,中证红利,1.11%,1.58%,4.10%,-13.2%,-2.6%,红利ETF
561580,央企红利,1.10%,1.53%,5.60%,-14.0%,-1.3%,红利ETF
513530,港股通高股息,1.06%,1.38%,6.10%,-14.8%,-1.2%,红利ETF
159307,红利低波100,1.06%,1.50%,0.64%,-11.0%,-4.4%,红利ETF
563180,高息策略,1.05%,1.57%,4.32%,-13.2%,-1.8%,红利ETF
159980,有色ETF,0.99%,1.11%,2.09%,-8.3%,-2.8%,商品ETF
161226,国投白银LOF,0.00%,0.00%,0.00%,0.0%,0.0%,商品ETF
161129,原油LOF,0.00%,0.00%,0.00%,0.0%,0.0%,商品ETF
