代码,指数代码,指数名,份额
158000,H11146,中证港股通内地金融港元指数,219925835
158001,980081,国证价值100指数,265392624
158005,931752,中证工程机械主题指数,225061376
158006,000813,细分化工,213046012
158008,980027,国证新能源电池指数,273413126
158009,CN5082,国证航天航空行业指数,216373819
158010,399989,中证医疗指数,230213319
158012,931469,中证云计算50指数,274825566
158013,CN5082,国证航天航空行业指数,209345203
158017,000813,细分化工,341594582
158019,931719,中证电池主题指数,294281913
158027,931495,中证工业互联网主题指数,237143045
159001,--,--,4225215
159003,--,--,1420925
159005,--,--,441624
159007,931946,中证畜牧养殖产业指数,197603274
159008,399975,中证全指证券公司指数,123784531
159009,399266,创业板新能源指数,51392703
159010,HSSCITI,恒生港股通科技主题指数,252097611
159011,931946,中证畜牧养殖产业指数,233505168
159012,931643,中证科创创业50指数,233881148
159013,931495,中证工业互联网主题指数,43578881
159015,HSSCITI,恒生港股通科技主题指数,116352934
159016,931412,中证证券公司30指数,254540154
159017,399439,国证石油天然气指数,161256813
159018,399439,国证石油天然气指数,30904203
159019,399439,国证石油天然气指数,50327711
159020,931946,中证畜牧养殖产业指数,114567082
159021,399373,国证大盘价值指数,183907712
159022,932456,中证科创创业人工智能指数,159630967
159023,931946,中证畜牧养殖产业指数,238777943
159026,399439,国证石油天然气指数,57513446
159027,931946,中证畜牧养殖产业指数,227472283
159028,HSSCAM,恒生港股通汽车主题指数,129449016
159029,931892,中证有色金属矿业主题指数,316127717
159030,399365,国证粮食产业指数,312468176
159031,399365,国证粮食产业指数,276028624
159032,H11059,中证工业有色金属主题指数,245845019
159033,399365,国证粮食产业指数,252323473
159035,930601,中证软件服务指数,328859726
159036,932094,中证全指软件开发指数,437740164
159037,980081,国证价值100指数,292249832
159038,399365,国证粮食产业指数,233026939
159039,980022,国证机器人产业指数,336461422
159040,931637,中证港股通互联网指数,209481087
159041,000949,中证农业主题指数,223471832
159042,980081,国证价值100指数,248801105
159043,H30192,中证全指食品指数,200770695
159045,930632,中证稀有金属主题指数,240330213
