代码,名称,PE(TTM),利润增速
159207,高股息ETF广发,10.99,-16.12
159307,红利低波100ETF博时,10.05,-9.78
159545,恒生红利低波ETF易方达,,
159691,港股红利ETF工银,,
159905,红利ETF工银,16.40,13.15
510720,红利国企ETF国泰,14.39,4.37
510810,上海国企ETF汇添富,13.72,2.50
510880,红利ETF华泰柏瑞,12.19,3.86
512890,红利低波ETF华泰柏瑞,7.96,-2.44
512950,央企改革ETF华夏,18.07,0.59
513530,港股通红利ETF华泰柏瑞,,
513630,港股低波红利ETF摩根,,
513690,港股红利ETF博时,,
513910,港股通央企红利ETF华夏,,
513920,港股通央企红利ETF华安,,
515180,红利ETF易方达,11.71,-0.77
515300,300红利低波ETF嘉实,9.25,-7.37
515450,红利低波50ETF南方,9.46,-3.85
515900,央企创新ETF博时,16.08,-3.29
520990,港股央企红利ETF景顺,,
560570,A500红利ETF国联安,10.36,-5.82
561580,央企红利ETF华泰柏瑞,11.03,-2.53
562060,标普A股红利ETF华宝,10.52,-22.20
159201,自由现金流ETF华夏,13.33,0.09
159209,红利质量ETF招商,13.67,31.91
159232,自由现金流ETF南方,12.70,4.30
159263,价值ETF易方达,8.94,-4.61
159399,现金流ETF国泰,14.14,-9.28
159758,红利质量ETF华夏,16.77,46.07
159966,创业板价值ETF华夏,30.03,2.50
512040,价值ETF富国,12.01,0.23
560120,中证500现金流ETF华夏,22.65,-6.52
562080,300现金流ETF华宝,14.11,8.62
159259,成长ETF易方达,66.16,253.62
159597,创业板成长ETF易方达,33.91,82.50
159967,创业板成长ETF华夏,36.83,112.15
562310,沪深300成长ETF银华,21.63,40.30
588020,科创成长ETF易方达,47.54,469.65
159206,卫星ETF永赢,189.71,53.20
159227,航空航天ETF华夏,135.33,-30.11
159326,电网设备ETF华夏,30.39,9.88
159387,创业板新能源ETF国泰,28.23,0.28
159518,标普油气ETF嘉实,,
159611,电力ETF广发,20.43,-17.76
159636,港股通科技30ETF工银,,
159667,工业母机ETF国泰,53.68,30.94
159745,建材ETF国泰,107.09,-23.04
159755,电池ETF广发,21.13,53.28
159766,旅游ETF富国,-63.23,-10.45
159825,农业ETF富国,-974.11,-15.62
159837,生物科技ETF易方达,61.73,8.22
159852,软件ETF嘉实,109.23,41.45
159865,养殖ETF国泰,-27.31,-51.33
159869,游戏ETF华夏,24.09,45.04
159870,化工ETF鹏华,18.08,72.88
159928,消费ETF汇添富,26.19,-14.06
159998,计算机ETF天弘,38.23,76.58
512000,券商ETF华宝,12.33,47.21
512010,医药ETF易方达,29.27,4.96
512170,医疗ETF华宝,34.20,8.10
512200,房地产ETF南方,-3.80,0.11
512400,有色金属ETF南方,16.73,85.86
512670,国防ETF鹏华,68.70,-17.75
512690,酒ETF鹏华,20.23,-14.40
512710,军工龙头ETF富国,66.09,-26.60
512800,银行ETF华宝,6.37,1.57
512980,传媒ETF广发,34.33,26.09
513330,恒生互联网ETF华夏,,
513750,港股通非银ETF广发,,
515170,食品饮料ETF华夏,20.10,-11.00
515220,煤炭ETF国泰,26.71,26.22
515400,大数据ETF富国,77.15,43.97
515790,光伏ETF华泰柏瑞,-62.97,-30.85
515880,通信ETF国泰,51.71,60.66
516150,稀土ETF嘉实,32.59,41.90
516510,云计算ETF易方达,68.85,59.44
516570,石化ETF易方达,15.93,61.20
516970,基建ETF广发,11.55,-18.75
517520,黄金股ETF永赢,31.37,53.82
560080,中药ETF汇添富,21.89,-1.10
560280,工程机械ETF广发,19.28,-2.83
560710,船舶ETF富国,28.71,33.87
561360,石油ETF国泰,18.32,39.28
562500,机器人ETF华夏,55.59,8.54
562800,稀有金属ETF嘉实,22.04,119.31
588170,科创半导体ETF华夏,178.95,73.35
588200,科创芯片ETF嘉实,106.98,156.64
588790,科创AIETF博时,94.68,39.48
589720,科创创新药ETF国泰,80.45,135.20
159329,沙特ETF南方,,
159561,德国ETF嘉实,,
159593,中证A50ETF平安,16.45,20.85
159687,亚太精选ETF南方,,
159781,科创创业ETF易方达,43.34,65.99
159915,创业板ETF易方达,36.97,37.46
159920,恒生ETF华夏,,
159941,纳指ETF广发,,
159949,创业板50ETF华安,31.15,41.05
510050,上证50ETF华夏,13.05,16.97
510180,上证180ETF华安,15.68,11.16
510210,上证指数ETF富国,16.28,10.56
510300,沪深300ETF华泰柏瑞,16.49,16.46
510500,中证500ETF南方,31.25,15.20
510900,恒生中国企业ETF易方达,,
512100,中证1000ETF南方,50.35,12.89
513180,恒生科技ETF华夏,,
513400,道琼斯ETF鹏华,,
513500,标普500ETF博时,,
513550,港股通50ETF华泰柏瑞,,
513800,日本东证指数ETF南方,,
513850,美国50ETF易方达,,
513880,日经225ETF华安,,
515800,中证800ETF汇添富,20.50,19.15
517300,沪港深300ETF国寿,21.56,16.02
560050,中国A50ETF汇添富,16.29,23.00
563300,中证2000ETF华泰柏瑞,111.97,0.82
563360,A500ETF华泰柏瑞,20.68,19.08
588000,科创50ETF华夏,99.91,84.87
588220,科创100ETF鹏华,99.07,52.65
589680,科创综指ETF鹏华,121.75,28.42
159980,有色ETF大成,,
159981,能源化工ETF建信,,
159985,豆粕ETF华夏,,
518880,黄金ETF华安,,
159623,成渝经济圈ETF博时,19.73,19.58
159790,碳中和ETF华夏,33.82,13.25
517160,长江保护ETF南方,24.72,9.21
