代码,名称,ATR(14),ATR(50),BIAS(50),最大回撤,当前回撤,来源
600737,中粮糖业,8.26%,6.21%,6.56%,-44.8%,-25.4%,央企红利类ETF
601872,招商轮船,6.63%,4.84%,25.80%,-35.8%,0.0%,央企红利类ETF
601208,东材科技,6.23%,7.00%,12.65%,-59.3%,-35.7%,资源类ETF
601212,白银有色,6.19%,5.97%,8.25%,-70.6%,-58.6%,资源类ETF
600206,有研新材,5.79%,7.85%,9.14%,-50.3%,-22.5%,资源类ETF
600508,上海能源,5.75%,4.38%,10.68%,-29.8%,-12.6%,央企红利类ETF
601975,招商南油,5.70%,3.94%,18.40%,-43.2%,-19.6%,资源类ETF
600026,中远海能,5.57%,4.24%,22.96%,-44.7%,-14.1%,资源类ETF
002716,湖南白银,5.57%,6.12%,6.33%,-67.6%,-53.4%,资源类ETF
300483,首华燃气,5.55%,5.71%,4.77%,-31.2%,-7.6%,资源类ETF
000703,恒逸石化,5.55%,6.28%,4.58%,-33.6%,-14.8%,资源类ETF
000506,招金黄金,5.39%,6.85%,8.29%,-60.9%,-34.9%,资源类ETF
300139,晓程科技,5.23%,7.29%,5.51%,-60.4%,-42.5%,资源类ETF
600547,山东黄金,5.06%,5.11%,4.97%,-62.3%,-45.7%,价值类ETF
002428,云南锗业,5.03%,7.23%,4.64%,-52.5%,-28.1%,资源类ETF
002155,湖南黄金,5.02%,5.10%,4.24%,-49.6%,-37.4%,资源类ETF
001337,四川黄金,4.95%,5.77%,9.76%,-55.5%,-31.0%,资源类ETF
601020,华钰矿业,4.95%,5.30%,2.24%,-56.8%,-47.2%,资源类ETF
000893,亚钾国际,4.92%,5.78%,-13.91%,-43.3%,-42.4%,资源类ETF
600346,恒力石化,4.81%,4.57%,-5.58%,-43.3%,-37.9%,价值类ETF
002738,中矿资源,4.80%,5.92%,-11.35%,-54.3%,-54.1%,资源类ETF
000301,东方盛虹,4.75%,4.45%,5.81%,-29.9%,-7.1%,资源类ETF
600188,兖矿能源,4.75%,5.67%,-6.09%,-35.3%,-27.0%,央企红利类ETF
601168,西部矿业,4.74%,5.69%,-3.91%,-37.6%,-16.3%,央企红利类ETF
002493,荣盛石化,4.74%,4.69%,-0.97%,-32.5%,-19.3%,资源类ETF
000426,兴业银锡,4.73%,6.22%,-1.08%,-61.0%,-48.4%,资源类ETF
601001,晋控煤业,4.73%,5.12%,-1.85%,-27.9%,-24.1%,价值类ETF
600362,江西铜业,4.60%,5.14%,-2.09%,-44.7%,-37.0%,资源类ETF
002379,宏桥控股,4.60%,6.73%,-6.24%,-56.2%,-45.4%,资源类ETF
000657,中钨高新,4.58%,7.26%,-0.60%,-55.6%,-42.9%,资源类ETF
600482,中国动力,4.54%,4.53%,8.61%,-36.4%,-19.3%,价值类ETF
600988,赤峰黄金,4.54%,6.12%,6.51%,-45.9%,-10.5%,资源类ETF
300037,新宙邦,4.48%,4.95%,11.94%,-39.1%,-21.8%,资源类ETF
601900,南方传媒,4.45%,2.97%,2.29%,-36.0%,-24.2%,价值类ETF
600428,中远海特,4.39%,5.10%,-0.51%,-22.9%,-7.6%,央企红利类ETF
600395,盘江股份,4.39%,3.99%,-1.46%,-28.2%,-19.8%,资源类ETF
002768,国恩股份,4.38%,5.60%,16.85%,-26.5%,0.0%,价值类ETF
600726,华电能源,4.38%,7.29%,-9.07%,-51.1%,-49.3%,资源类ETF
000338,潍柴动力,4.36%,5.41%,-1.03%,-31.6%,-22.1%,价值类ETF
600489,中金黄金,4.33%,4.88%,1.16%,-56.8%,-40.7%,资源类ETF
603979,金诚信,4.31%,5.22%,-1.60%,-40.0%,-15.8%,资源类ETF
600256,广汇能源,4.29%,3.54%,10.73%,-38.5%,-11.2%,价值类ETF
600961,株冶集团,4.25%,5.82%,-0.80%,-39.7%,-28.6%,价值类ETF
600711,盛屯矿业,4.22%,5.32%,-1.76%,-50.0%,-39.4%,资源类ETF
000975,山金国际,4.21%,5.03%,3.35%,-56.1%,-33.3%,价值类ETF
601101,昊华能源,4.21%,5.89%,2.70%,-23.8%,-14.0%,资源类ETF
002545,东方铁塔,4.21%,5.32%,-9.15%,-48.1%,-46.3%,资源类ETF
600989,宝丰能源,4.20%,4.10%,1.90%,-41.9%,-30.3%,价值类ETF
601083,锦江航运,4.18%,3.04%,6.92%,-24.2%,-5.2%,价值类ETF
600295,鄂尔多斯,4.11%,3.61%,1.95%,-37.6%,-21.7%,价值类ETF
002407,多氟多,4.06%,6.79%,-2.35%,-49.1%,-39.9%,资源类ETF
601233,桐昆股份,4.06%,4.92%,1.87%,-34.5%,-13.9%,资源类ETF
601609,金田股份,4.04%,3.84%,14.79%,-35.3%,-6.9%,资源类ETF
600531,豫光金铅,4.03%,5.02%,-2.88%,-55.8%,-49.9%,资源类ETF
002645,华宏科技,4.02%,6.20%,-1.11%,-56.3%,-49.4%,资源类ETF
002192,融捷股份,4.01%,6.01%,-8.81%,-49.5%,-45.2%,资源类ETF
600426,华鲁恒升,3.98%,4.46%,-5.67%,-42.5%,-38.5%,资源类ETF
300390,天华新能,3.97%,6.19%,-8.67%,-54.4%,-52.7%,资源类ETF
002240,盛新锂能,3.96%,5.93%,-10.27%,-58.2%,-56.4%,资源类ETF
601699,潞安环能,3.96%,4.68%,-4.47%,-25.3%,-20.5%,央企红利类ETF
600801,华新建材,3.89%,4.24%,6.77%,-39.8%,-6.3%,价值类ETF
002517,恺英网络,3.86%,4.71%,-2.14%,-48.3%,-39.4%,价值类ETF
600150,中国船舶,3.84%,2.80%,12.72%,-22.8%,-4.7%,价值类ETF
601898,中煤能源,3.84%,4.02%,-1.53%,-37.5%,-27.6%,央企红利类ETF
600740,山西焦化,3.84%,3.52%,1.85%,-38.0%,-26.9%,资源类ETF
000960,锡业股份,3.81%,5.43%,-3.78%,-40.1%,-30.8%,资源类ETF
000552,甘肃能化,3.80%,3.33%,-4.36%,-23.5%,-16.0%,资源类ETF
600259,中稀有色,3.78%,5.27%,1.33%,-41.8%,-31.4%,资源类ETF
002237,恒邦股份,3.77%,4.16%,-0.77%,-46.5%,-39.2%,资源类ETF
601666,平煤股份,3.77%,4.55%,0.17%,-26.2%,-12.0%,央企红利类ETF
000612,焦作万方,3.77%,3.58%,3.11%,-33.9%,-23.1%,价值类ETF
000983,山西焦煤,3.74%,3.57%,-4.10%,-25.8%,-16.4%,资源类ETF
600546,山煤国际,3.73%,4.04%,3.25%,-29.1%,-10.2%,央企红利类ETF
600549,厦门钨业,3.71%,6.21%,-3.68%,-52.4%,-46.6%,资源类ETF
601918,新集能源,3.66%,4.51%,2.10%,-24.1%,-7.6%,资源类ETF
600985,淮北矿业,3.64%,4.76%,0.72%,-18.1%,-12.3%,央企红利类ETF
600971,恒源煤电,3.60%,3.74%,0.33%,-18.6%,-9.2%,央企红利类ETF
002532,天山铝业,3.59%,4.45%,-0.14%,-48.3%,-36.2%,价值类ETF
000408,藏格矿业,3.57%,4.29%,-5.53%,-28.2%,-21.9%,资源类ETF
000831,中国稀土,3.57%,4.45%,-0.42%,-32.1%,-19.4%,资源类ETF
603871,嘉友国际,3.56%,3.79%,-3.89%,-36.0%,-22.9%,价值类ETF
600595,中孚实业,3.52%,4.30%,-3.67%,-46.1%,-40.6%,资源类ETF
601899,紫金矿业,3.50%,4.18%,-2.88%,-42.1%,-26.4%,价值类ETF
601958,金钼股份,3.49%,5.05%,-5.33%,-35.6%,-32.0%,价值类ETF
002668,TCL智家,3.44%,4.64%,-8.12%,-21.3%,-18.3%,价值类ETF
000739,普洛药业,3.43%,4.87%,9.67%,-20.0%,0.0%,价值类ETF
600123,兰花科创,3.40%,3.55%,0.21%,-27.5%,-5.8%,央企红利类ETF
600415,小商品城,3.40%,4.18%,-1.26%,-44.2%,-32.4%,价值类ETF
002345,潮宏基,3.40%,5.77%,-10.44%,-40.8%,-38.2%,资源类ETF
600348,华阳股份,3.39%,3.20%,1.51%,-28.3%,-13.6%,资源类ETF
600031,三一重工,3.37%,3.34%,-7.69%,-28.2%,-24.8%,价值类ETF
000921,海信家电,3.37%,3.48%,6.60%,-22.7%,-5.0%,价值类ETF
002648,卫星化学,3.36%,3.55%,2.48%,-27.3%,-10.7%,价值类ETF
002497,雅化集团,3.36%,4.56%,-7.96%,-47.5%,-46.5%,资源类ETF
002558,巨人网络,3.34%,5.55%,-8.65%,-54.0%,-51.0%,价值类ETF
002812,恩捷股份,3.34%,4.73%,-7.26%,-46.1%,-44.5%,资源类ETF
002895,川恒股份,3.33%,4.05%,-6.35%,-33.9%,-27.0%,价值类ETF
000899,赣能股份,3.31%,4.10%,-8.02%,-40.4%,-39.9%,资源类ETF
600057,厦门象屿,3.29%,2.98%,-3.74%,-39.7%,-32.5%,价值类ETF
001280,中国铀业,3.27%,3.76%,-0.90%,-43.6%,-36.4%,资源类ETF
605599,菜百股份,3.25%,4.90%,-7.57%,-50.4%,-47.8%,资源类ETF
601991,大唐发电,3.24%,5.82%,-6.63%,-39.5%,-38.6%,资源类ETF
603816,顾家家居,3.23%,3.84%,-6.03%,-40.7%,-36.4%,价值类ETF
603993,洛阳钼业,3.23%,4.64%,-6.46%,-39.6%,-34.3%,资源类ETF
002460,赣锋锂业,3.20%,4.26%,-8.94%,-50.1%,-49.4%,资源类ETF
603565,中谷物流,3.20%,3.60%,4.09%,-23.1%,-12.9%,价值类ETF
600938,中国海油,3.19%,3.22%,-0.69%,-38.8%,-24.8%,央企红利类ETF
600096,云天化,3.19%,3.41%,-5.27%,-39.0%,-35.2%,价值类ETF
002466,天齐锂业,3.18%,4.60%,-7.67%,-48.5%,-47.7%,资源类ETF
002202,金风科技,3.18%,4.91%,-3.58%,-51.9%,-47.9%,资源类ETF
000933,神火股份,3.17%,3.64%,2.12%,-43.3%,-28.0%,价值类ETF
600309,万华化学,3.17%,3.37%,-3.09%,-28.3%,-22.9%,资源类ETF
002128,电投能源,3.15%,3.25%,1.26%,-31.2%,-17.4%,央企红利类ETF
000630,铜陵有色,3.12%,3.84%,-4.21%,-39.4%,-33.4%,资源类ETF
600710,苏美达,3.11%,2.70%,6.56%,-34.5%,-21.8%,央企红利类ETF
000807,云铝股份,3.09%,3.76%,3.41%,-40.6%,-25.3%,价值类ETF
600392,盛和资源,3.09%,4.81%,-2.88%,-42.0%,-37.0%,资源类ETF
000060,中金岭南,3.08%,3.74%,-4.23%,-32.8%,-29.3%,资源类ETF
000758,中色股份,3.06%,3.00%,-0.55%,-38.9%,-33.4%,资源类ETF
688188,柏楚电子,3.05%,3.61%,-4.05%,-28.1%,-24.1%,价值类ETF
600236,桂冠电力,3.03%,4.60%,-5.49%,-26.2%,-20.4%,央企红利类ETF
600160,巨化股份,3.03%,4.49%,-11.82%,-37.8%,-37.8%,资源类ETF
000783,长江证券,3.03%,3.51%,-3.99%,-25.3%,-19.8%,价值类ETF
000902,新洋丰,3.01%,3.17%,1.27%,-39.6%,-27.1%,价值类ETF
002056,横店东磁,3.01%,5.23%,-5.57%,-40.5%,-38.1%,资源类ETF
601600,中国铝业,3.01%,3.66%,-0.35%,-48.9%,-39.9%,价值类ETF
601225,陕西煤业,2.98%,3.37%,-0.78%,-24.3%,-8.8%,央企红利类ETF
600863,华能蒙电,2.94%,4.13%,-0.98%,-46.9%,-38.6%,央企红利类ETF
601601,中国太保,2.93%,2.70%,1.25%,-41.6%,-31.4%,价值类ETF
002709,天赐材料,2.92%,4.56%,-8.14%,-49.4%,-47.8%,资源类ETF
688599,天合光能,2.91%,3.91%,-10.37%,-51.3%,-49.2%,价值类ETF
601319,中国人保,2.88%,2.34%,6.40%,-34.7%,-20.1%,价值类ETF
600578,京能电力,2.85%,5.27%,-5.54%,-45.4%,-43.7%,价值类ETF
600039,四川路桥,2.81%,2.91%,0.14%,-27.3%,-13.9%,央企红利类ETF
600060,海信视像,2.79%,3.29%,4.17%,-20.0%,-2.7%,价值类ETF
601156,东航物流,2.77%,3.16%,1.66%,-21.9%,-6.8%,价值类ETF
603899,晨光股份,2.76%,2.48%,-3.89%,-25.0%,-21.0%,价值类ETF
600968,海油发展,2.75%,2.85%,1.31%,-39.3%,-28.0%,资源类ETF
000690,宝新能源,2.73%,2.75%,7.95%,-27.8%,-14.2%,资源类ETF
600612,老凤祥,2.73%,3.21%,-8.31%,-37.9%,-36.7%,资源类ETF
688330,宏力达,2.73%,3.09%,7.37%,-44.7%,-35.1%,价值类ETF
300748,金力永磁,2.73%,3.76%,-3.54%,-40.9%,-38.1%,资源类ETF
603233,大参林,2.72%,3.54%,0.07%,-28.8%,-11.5%,价值类ETF
000792,盐湖股份,2.71%,3.69%,-8.38%,-39.4%,-38.8%,价值类ETF
601808,中海油服,2.70%,2.83%,-1.20%,-47.1%,-40.4%,价值类ETF
603558,健盛集团,2.69%,2.88%,9.75%,-26.8%,-10.0%,价值类ETF
600021,上海电力,2.69%,3.52%,-5.24%,-43.7%,-43.3%,资源类ETF
603799,华友钴业,2.67%,4.30%,-9.64%,-56.2%,-55.4%,资源类ETF
601857,中国石油,2.65%,2.94%,-0.89%,-33.9%,-17.0%,央企红利类ETF
000969,安泰科技,2.64%,3.63%,2.48%,-47.2%,-40.6%,资源类ETF
603605,珀莱雅,2.64%,3.44%,-5.08%,-27.9%,-25.7%,价值类ETF
601717,中创智领,2.60%,2.96%,-7.74%,-43.7%,-43.3%,价值类ETF
600219,南山铝业,2.59%,3.48%,1.87%,-51.0%,-40.4%,价值类ETF
605090,九丰能源,2.58%,4.71%,-5.08%,-41.7%,-37.3%,资源类ETF
000951,中国重汽,2.56%,3.94%,-5.69%,-27.1%,-21.6%,价值类ETF
300628,亿联网络,2.52%,3.46%,4.84%,-18.0%,-2.2%,价值类ETF
601919,中远海控,2.44%,2.15%,1.52%,-20.4%,-7.6%,央企红利类ETF
601216,君正集团,2.41%,2.49%,0.03%,-35.2%,-26.7%,价值类ETF
000708,中信特钢,2.41%,2.57%,-4.81%,-28.6%,-25.2%,价值类ETF
601598,中国外运,2.40%,2.83%,1.53%,-21.6%,-5.8%,央企红利类ETF
002249,大洋电机,2.39%,3.05%,-8.28%,-46.4%,-45.9%,资源类ETF
601088,中国神华,2.38%,2.58%,1.05%,-23.6%,-7.0%,央企红利类ETF
600398,海澜之家,2.37%,2.37%,-3.03%,-17.9%,-9.1%,价值类ETF
002170,芭田股份,2.34%,3.01%,-2.47%,-27.8%,-22.9%,价值类ETF
002415,海康威视,2.34%,3.17%,-5.27%,-15.9%,-13.5%,价值类ETF
002555,三七互娱,2.33%,3.30%,-5.75%,-41.0%,-39.8%,价值类ETF
600282,南钢股份,2.32%,2.79%,-3.55%,-22.5%,-21.5%,央企红利类ETF
600366,宁波韵升,2.32%,4.50%,-3.60%,-37.0%,-33.3%,资源类ETF
300770,新媒股份,2.30%,2.35%,0.86%,-35.8%,-29.6%,价值类ETF
601318,中国平安,2.28%,2.15%,0.48%,-35.4%,-25.5%,价值类ETF
601988,中国银行,2.28%,2.12%,6.43%,-13.3%,-2.1%,央企红利类ETF
601998,中信银行,2.28%,2.27%,10.23%,-16.6%,-0.2%,央企红利类ETF
601000,唐山港,2.27%,2.59%,-2.63%,-13.2%,-9.7%,价值类ETF
600483,福能股份,2.26%,2.69%,1.84%,-16.9%,-5.9%,资源类ETF
601077,渝农商行,2.23%,2.51%,-2.41%,-16.7%,-10.9%,央企红利类ETF
002142,宁波银行,2.21%,2.25%,4.88%,-11.8%,-3.4%,价值类ETF
002001,新和成,2.21%,3.83%,-7.49%,-31.8%,-31.6%,价值类ETF
000100,TCL科技,2.20%,3.20%,1.10%,-24.2%,-18.5%,价值类ETF
000155,川能动力,2.17%,3.39%,-1.14%,-45.0%,-38.7%,资源类ETF
600111,北方稀土,2.16%,3.32%,-7.36%,-41.0%,-40.8%,资源类ETF
601658,邮储银行,2.14%,1.70%,3.44%,-14.5%,-4.3%,央企红利类ETF
600795,国电电力,2.13%,2.00%,3.43%,-24.6%,-10.1%,资源类ETF
601009,南京银行,2.13%,2.12%,2.04%,-16.2%,-4.8%,价值类ETF
601288,农业银行,2.12%,2.29%,1.40%,-24.8%,-13.3%,央企红利类ETF
601939,建设银行,2.11%,2.38%,2.68%,-11.5%,-3.0%,央企红利类ETF
601877,正泰电器,2.10%,2.47%,0.67%,-42.0%,-37.7%,价值类ETF
600919,江苏银行,2.08%,1.91%,2.63%,-9.5%,-3.6%,央企红利类ETF
