代码,名称,最新价,PE(TTM),PB,ROE(TTM),营收同比,净利同比,毛利率,总市值,上市日期
920599,同力股份,17.06,8.54,2.15,25.175644028103044,12.133099187,26.259987545947,20.7219504862,7890676500,20210222
688599,天合光能,11.23,-6.0,1.29,-21.5,2.9920497086,90.750598054463,7.5884960977,26307035114,20200610
688330,宏力达,36.36,6.14,1.1,17.915309446254074,2.8404047986,194.69969584787,28.5816507521,5090400000,20201015
688188,柏楚电子,95.37,30.71,6.1,19.86323673070661,15.8383182914,22.969830779626,73.928625075,38678003802,20190808
605599,菜百股份,14.23,9.96,2.5,25.1004016064257,38.001451721,-4.776310778145,6.0863761593,11067778094,20210909
605090,九丰能源,32.67,14.71,1.88,12.780421481985044,-7.6030789447,10.397950873785,14.9474535185,23084116203,20210525
603993,洛阳钼业,17.51,13.47,4.27,31.700074239049737,42.7839090612,86.272667882062,23.0090744347,374614371182,20121009
603979,金诚信,73.33,16.1,3.75,23.291925465838506,20.9742942777,45.299091458182,39.5736206273,45742709891,20150630
603939,益丰药房,22.78,15.67,2.32,14.805360561582642,3.4820903267,9.514431684577,40.2969181687,27618300831,20150217
603899,晨光股份,21.74,14.87,2.28,15.332885003362474,4.7278191811,5.132053536846,19.5710684881,19909391496,20150127
603871,嘉友国际,12.29,12.82,2.69,20.982839313572544,-2.8813292734,30.385716152877,23.1877198447,16812826407,20180206
603816,顾家家居,22.5,12.29,1.7,13.83238405207486,0.7548793261,-9.30744822675,32.4936425459,20828992770,20161014
603799,华友钴业,35.78,9.81,1.33,13.557594291539246,49.3890763568,29.379862803623,19.594899026,67750414558,20150129
603605,珀莱雅,55.83,11.84,3.32,28.040540540540537,0.2407779263,46.259226701572,74.320781037,22107345663,20171115
603565,中谷物流,11.78,12.29,2.25,18.307567127746136,2.2406745046,1.051817129948,30.9336515239,24738743353,20200925
603558,健盛集团,13.28,10.39,2.12,20.404234841193457,3.4046268071,23.234012311721,30.4555193346,4550233291,20150127
603288,海天味业,33.85,27.07,5.07,18.729220539342446,6.0061732024,7.125124059512,41.0363120571,198057874739,20140211
603233,大参林,18.38,15.35,2.78,18.11074918566775,3.4647439278,16.103936384256,35.5978311423,20932146078,20170731
603195,公牛集团,38.0,16.47,4.51,27.383120825743777,2.7652518831,4.435830130601,41.7110271651,68530948342,20200206
601998,中信银行,8.96,6.95,0.67,9.640287769784173,3.0507963718,3.081309282307,0.0,498580653885,20070427
601991,大唐发电,5.58,12.42,2.74,22.06119162640902,2.1427061621,20.314526486171,19.2863798685,103267444612,20061220
601988,中国银行,6.54,8.46,0.77,9.101654846335697,8.4801658344,5.104982524173,0.0,2107269173264,20060705
601975,招商南油,4.64,13.98,1.78,12.732474964234623,19.3666964857,42.414689684081,29.8499121225,21716799306,20190108
601958,金钼股份,20.45,18.78,3.19,16.986155484558036,13.7856977567,25.949895715393,41.9557983224,65984059980,20080417
601939,建设银行,10.81,8.16,0.79,9.681372549019608,10.7174470481,4.620054789111,0.0,2827900123572,20070925
601919,中远海控,16.1,9.19,1.05,11.425462459194778,2.5870029553,-23.47827216587,18.3392709861,245816779737,20070626
