trade_date,open,high,low,close,volume
2026-03-03,123.66,129.29,117.3,122.27,358623
2026-03-04,119.8,121.1,112.86,114.91,337766
2026-03-05,117.3,124.98,116.52,122.71,278264
2026-03-06,121.74,124.9,116.16,121.8,218641
2026-03-09,119.13,121.78,112.5,117.8,205048
2026-03-10,117.83,120.85,114.18,119.1,228986
2026-03-11,115.64,117.1,110.39,111.31,305659
2026-03-12,111.31,111.68,106.3,107.77,230024
2026-03-13,107.77,107.8,103.58,104.53,239138
2026-03-16,104.53,104.9,97.85,100.74,257225
2026-03-17,100.74,104.8,99.3,100.0,209705
2026-03-18,100.8,103.13,98.3,102.1,208768
2026-03-19,101.06,102.75,96.7,97.29,190787
2026-03-20,98.8,99.62,95.3,95.46,158755
2026-03-23,93.75,96.6,92.09,93.1,194525
2026-03-24,95.51,98.63,94.99,98.3,231314
2026-03-25,100.47,104.6,99.0,99.61,277311
2026-03-26,99.6,100.57,97.1,97.56,138629
2026-03-27,96.26,99.05,95.45,97.5,120099
2026-03-30,94.25,94.25,88.66,93.09,401899
2026-03-31,97.3,99.5,95.33,96.1,375702
2026-04-01,100.3,102.56,97.49,99.71,292277
2026-04-02,102.74,109.75,102.74,107.3,400552
2026-04-03,105.93,109.5,105.32,106.67,239248
2026-04-07,106.61,106.76,100.0,100.96,234699
2026-04-08,107.18,111.13,106.84,111.13,251721
2026-04-09,110.91,114.24,107.9,111.79,266908
2026-04-10,112.3,119.98,110.46,116.76,231096
2026-04-13,115.3,115.46,109.3,111.03,270230
2026-04-14,112.4,113.2,108.39,110.05,207470
2026-04-15,110.96,113.19,108.35,108.78,167673
2026-04-16,108.8,116.64,108.41,115.6,237118
2026-04-17,114.43,123.13,114.18,120.48,280638
2026-04-20,120.3,120.3,115.4,117.32,173792
2026-04-21,117.25,120.12,115.15,116.45,138067
2026-04-22,115.42,121.88,115.4,121.46,168968
2026-04-23,127.56,133.68,124.9,129.69,259964
2026-04-24,129.3,131.52,123.4,130.3,189087
2026-04-27,129.27,134.3,127.1,128.6,143459
2026-04-28,127.72,128.52,123.3,124.33,134382
2026-04-29,123.63,128.12,122.7,126.55,114470
2026-04-30,126.9,138.9,122.53,136.3,293370
2026-05-06,143.4,150.0,143.15,149.34,247313
2026-05-07,149.26,151.29,143.5,150.1,159412
2026-05-08,148.3,148.9,142.09,145.68,176352
2026-05-11,145.7,146.5,139.4,144.02,212247
2026-05-12,144.02,145.56,139.3,143.1,163394
2026-05-13,142.18,151.0,139.11,148.25,176210
2026-05-14,145.81,148.07,137.3,137.97,201214
2026-05-15,140.46,144.06,136.1,137.16,165154
2026-05-18,135.38,141.05,134.26,138.45,136889
2026-05-19,137.25,139.78,134.58,138.11,118924
2026-05-20,139.3,141.2,131.48,135.33,172068
2026-05-21,136.8,139.1,132.18,132.28,137462
2026-05-22,132.5,135.8,130.53,132.55,183946
2026-05-25,132.99,136.91,130.05,136.65,182626
2026-05-26,137.88,138.0,131.3,133.35,143061
2026-05-27,137.3,144.05,137.3,140.76,245474
2026-05-28,141.3,148.75,139.38,147.38,207036
2026-05-29,147.1,147.28,138.53,139.7,191741
2026-06-01,142.3,153.74,141.86,146.3,248028
2026-06-02,147.0,150.04,141.96,147.39,195591
2026-06-03,147.39,151.29,140.88,142.34,210667
2026-06-04,142.55,156.64,140.98,156.64,246241
2026-06-05,162.28,162.28,149.31,150.68,299090
2026-06-08,141.52,149.2,140.28,147.22,217070
2026-06-09,151.8,153.02,144.46,151.42,166286
2026-06-10,147.5,149.0,136.28,144.8,476224
2026-06-11,140.93,149.32,139.6,145.01,237856
2026-06-12,152.26,158.0,144.9,144.9,298977
2026-06-15,146.01,155.55,144.08,154.87,233726
2026-06-16,153.33,159.48,151.87,152.51,177929
2026-06-17,151.0,159.99,150.53,157.65,144060
2026-06-18,160.49,172.77,159.28,164.22,191077
2026-06-22,164.01,175.5,164.01,173.66,171390
2026-06-23,173.66,175.5,164.22,164.7,130301
2026-06-24,163.9,166.52,158.64,159.14,154162
2026-06-25,159.19,167.99,159.19,163.51,147622
2026-06-26,163.0,166.7,160.03,161.53,115972
2026-06-29,163.17,165.63,145.4,150.69,268314
2026-06-30,151.49,156.98,150.92,152.5,147242
2026-07-01,154.09,162.48,153.44,154.64,138526
2026-07-02,146.39,152.7,144.73,146.78,142228
2026-07-03,146.0,161.46,146.0,161.46,163289
2026-07-06,164.88,176.59,161.88,171.11,237108
2026-07-07,172.92,174.77,165.23,168.81,149764
2026-07-08,169.0,172.39,157.86,157.99,136691
2026-07-09,161.86,168.48,158.58,168.0,169005
2026-07-10,170.0,170.0,151.2,151.2,197554
2026-07-13,147.93,152.28,136.9,138.79,243661
2026-07-14,138.09,144.9,136.07,144.74,184149
2026-07-15,147.34,147.7,132.66,134.55,218354
2026-07-16,133.74,135.89,128.68,130.5,163329
2026-07-17,130.22,130.44,117.45,117.45,283372
2026-07-20,120.0,120.98,110.25,114.77,267268
2026-07-21,116.0,126.25,105.0,126.01,384398
2026-07-22,126.0,129.2,120.23,122.83,198153
2026-07-23,135.11,135.11,135.11,135.11,29083
2026-07-24,148.0,148.0,136.34,137.29,429491
2026-07-27,139.17,151.02,135.0,151.02,306842
