代码,名称,PE(TTM),利润增速
159206,卫星,181.18,55.58
159259,成长ETF,66.36,255.63
513310,中韩半导体,157.21,92.47
588000,科创50,99.23,85.45
515880,通信设备,53.86,58.00
159967,创业板成长,39.06,115.41
588220,科创100,96.15,58.14
589720,科创新药,77.02,134.84
159781,双创50,44.10,62.53
513350,标普油气,,
159608,稀有金属,22.30,122.21
159869,游戏,24.52,45.01
159562,黄金股,31.60,52.53
159531,中证2000,66.90,-12.09
512660,军工,65.14,12.68
513120,港股创新药,,
159652,有色,16.45,85.23
513780,港股通创新药,,
510500,中证500,31.36,15.45
159637,新能源车,22.56,53.18
513050,中概互联,,
515220,煤炭,27.44,26.08
159755,电池ETF,21.19,54.51
516270,新能源,21.38,8.20
159129,化工,18.26,72.39
513260,恒生科技,,
159697,石油,18.49,19.81
512690,白酒,20.38,-14.25
159338,中证A500,21.23,19.65
159981,能源化工ETF,,
159611,电力,20.47,-17.80
520560,香港大盘30,,
513750,港股通非银,,
510300,沪深300,16.67,16.49
159268,港股通消费,,
159209,中证红利质量,13.70,32.43
159232,中证现金流,13.96,2.86
560700,央企股东回报,14.65,-3.64
159222,自由现金流,13.79,0.77
159207,智选高股息,10.98,-15.75
159263,价值100,12.18,-3.97
512040,国信价值,12.07,0.27
515080,中证红利,11.81,-0.86
159569,港股通红利低波,,
159905,深红利,16.52,13.32
561580,央企红利,11.11,-2.48
159691,港股红利工银,,
563180,高息策略,12.29,4.66
563020,红利低波,8.01,-2.49
520990,国新港股通红利,,
513920,恒生港股通央企,,
159307,红利低波100,10.61,-7.83
159333,港股通央企红利,,
159529,标普消费,,
513530,港股通高股息,,
513850,美国50,,
159696,纳指,,
159655,标普,,
513650,美国标普,,
159980,有色ETF,,
513400,道琼斯,,
161226,国投白银LOF,,
161129,原油LOF,,
